,ASV,#lca rank,#lca taxon,#kingdom,#phylum,#class,#order,#family,#genus,#species,#method,OBIS-family,OBIS-genus,OBIS-FBname,OBIS-DemersPelag,OBIS-AnaCat,OBIS-Importance,Decision,Note
37,ASV38,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
38,ASV39,species,Myoxocephalus thompsonii,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus thompsonii,best hit,NA,NA,NA,NA,NA,NA,,"Doubtful - Deepwater sculpin, unclear if possible in Bras D'or lake"
39,ASV40,species,Myoxocephalus octodecemspinosus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus octodecemspinosus,best hit,Cottidae,Myoxocephalus,Longhorn sculpin,demersal,NA,NA,,
40,ASV41,species,Pungitius pungitius,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Pungitius,Pungitius pungitius,best hit,Gasterosteidae,Pungitius,Ninespine stickleback,benthopelagic,anadromous,subsistence fisheries,,
41,ASV42,species,Citharichthys arctifrons,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys arctifrons,best hit,Paralichthyidae,Citharichthys,Gulf Stream flounder,demersal,NA,NA,,
42,ASV43,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
43,ASV44,species,Hippoglossus hippoglossus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus,best hit,Pleuronectidae,Hippoglossus,Atlantic halibut,demersal,oceanodromous,commercial,,
44,ASV45,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
45,ASV46,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
46,ASV47,species,Catostomus commersonii,Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii,best hit,Catostomidae,Catostomus,White sucker,demersal,NA,minor commercial,,
47,ASV48,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
48,ASV49,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
49,ASV50,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,NA,NA,NA,NA,NA,NA,,
50,ASV51,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
51,ASV52,species,Liparis gibbus,Eukaryota,Chordata,Actinopteri,Perciformes,Liparidae,Liparis,Liparis gibbus,best hit,Liparidae,Liparis,Variegated snailfish,demersal,NA,NA,,
52,ASV53,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
53,ASV54,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
54,ASV55,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
55,ASV56,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
56,ASV57,species,Menidia beryllina,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia beryllina,best hit,Atherinopsidae,Menidia,Inland silverside,pelagic-neritic,NA,commercial,,
57,ASV58,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
58,ASV59,species,Eumesogrammus praecisus,Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Eumesogrammus,Eumesogrammus praecisus,best hit,Stichaeidae,Eumesogrammus,Fourline snakeblenny,benthopelagic,NA,NA,,
59,ASV60,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
60,ASV61,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
61,ASV62,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
62,ASV63,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
63,ASV64,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
64,ASV65,species,Liparis miostomus,Eukaryota,Chordata,Actinopteri,Perciformes,Liparidae,Liparis,Liparis miostomus,best hit,NA,NA,NA,NA,NA,NA,,Slender sculpin Seen before in DFO eDNA (GBIF)
65,ASV66,species,Lophius americanus,Eukaryota,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Lophius americanus,best hit,Lophiidae,Lophius,American angler,demersal,oceanodromous,highly commercial,,
66,ASV67,species,Artediellus atlanticus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Artediellus,Artediellus atlanticus,best hit,Cottidae,Artediellus,Atlantic hookear sculpin,demersal,NA,NA,,
67,ASV68,species,Scomberesox saurus,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Scomberesox,Scomberesox saurus,best hit,Scomberesocidae,Scomberesox,Atlantic saury,pelagic-oceanic,oceanodromous,minor commercial,,
68,ASV69,species,Oncorhynchus mykiss,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,best hit,Salmonidae,Oncorhynchus,Rainbow trout,benthopelagic,anadromous,highly commercial,,
69,ASV70,species,Mola mola,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Molidae,Mola,Mola mola,best hit,Molidae,Mola,Ocean sunfish,pelagic-oceanic,oceanodromous,minor commercial,,
70,ASV71,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
71,ASV72,species,Liparis inquilinus,Eukaryota,Chordata,Actinopteri,Perciformes,Liparidae,Liparis,Liparis inquilinus,best hit,Liparidae,Liparis,Inquiline snailfish,demersal,NA,NA,,
72,ASV73,species,Lumpenus lampretaeformis,Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Lumpenus,Lumpenus lampretaeformis,best hit,Stichaeidae,Lumpenus,Snakeblenny,demersal,non-migratory,of no interest,,
73,ASV74,species,Thunnus thynnus,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus thynnus,best hit,Scombridae,Thunnus,Atlantic bluefin tuna,pelagic-oceanic,oceanodromous,commercial,,
74,ASV75,species,Alosa pseudoharengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,best hit,Alosidae,Alosa,Alewife,pelagic-neritic,anadromous,commercial,,
75,ASV76,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
76,ASV77,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
77,ASV78,species,Leptoclinus maculatus,Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,best hit,Stichaeidae,Leptoclinus,Daubed shanny,demersal,NA,NA,,
78,ASV80,species,Ceratoscopelus maderensis,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Ceratoscopelus,Ceratoscopelus maderensis,best hit,Myctophidae,Ceratoscopelus,Madeira lantern fish,bathypelagic,oceanodromous,NA,,
79,ASV81,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
80,ASV82,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
81,ASV83,species,Enchelyopus cimbrius,Eukaryota,Chordata,Actinopteri,Gadiformes,Gaidropsaridae,Enchelyopus,Enchelyopus cimbrius,best hit,Lotidae,Enchelyopus,Fourbeard rockling,demersal,oceanodromous,minor commercial,,
82,ASV84,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
83,ASV85,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
84,ASV86,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
85,ASV87,species,Pollachius virens,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius virens,best hit,Gadidae,Pollachius,Saithe,demersal,oceanodromous,highly commercial,,
86,ASV88,species,Hemitripterus americanus,Eukaryota,Chordata,Actinopteri,Perciformes,Agonidae,Hemitripterus,Hemitripterus americanus,best hit,Hemitripteridae,Hemitripterus,Sea raven,demersal,NA,NA,,
87,ASV89,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
88,ASV90,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
89,ASV91,species,Alosa aestivalis,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Alosa aestivalis,best hit,Alosidae,Alosa,Blueback shad,pelagic-neritic,anadromous,commercial,,
90,ASV92,species,Morone americana,Eukaryota,Chordata,Actinopteri,unknown order,Moronidae,Morone,Morone americana,best hit,Moronidae,Morone,White perch,benthopelagic,anadromous,minor commercial,,
91,ASV93,species,Semotilus atromaculatus,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Semotilus,Semotilus atromaculatus,best hit,NA,NA,NA,NA,NA,NA,,"Creek chub, good ID"
92,ASV94,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
93,ASV95,species,Artediellus atlanticus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Artediellus,Artediellus atlanticus,best hit,Cottidae,Artediellus,Atlantic hookear sculpin,demersal,NA,NA,,
94,ASV96,species,Urophycis chuss,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis chuss,best hit,Phycidae,Urophycis,Red hake,demersal,oceanodromous,commercial,,
95,ASV98,species,Peprilus triacanthus,Eukaryota,Chordata,Actinopteri,Scombriformes,Stromateidae,Peprilus,Peprilus triacanthus,best hit,Stromateidae,Peprilus,Atlantic butterfish,benthopelagic,oceanodromous,commercial,,
96,ASV99,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
97,ASV104,species,Notoscopelus elongatus,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Notoscopelus,Notoscopelus elongatus,best hit,NA,NA,NA,NA,NA,NA,,"Lanternfish ""endemic"" to Mediteranean, but has many GBIF records across N Atlantic"
98,ASV105,species,Melanogrammus aeglefinus,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,best hit,Gadidae,Melanogrammus,Haddock,demersal,oceanodromous,highly commercial,,
99,ASV106,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
100,ASV107,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
101,ASV109,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
102,ASV110,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
103,ASV111,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
104,ASV113,species,Microtus montanus,Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus,lca,NA,NA,NA,NA,NA,NA,,"Remove, rodent contaminant"
105,ASV114,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
106,ASV115,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
107,ASV117,species,Brosme brosme,Eukaryota,Chordata,Actinopteri,Gadiformes,Lotidae,Brosme,Brosme brosme,best hit,Lotidae,Brosme,Cusk,demersal,oceanodromous,highly commercial,,
108,ASV118,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
109,ASV119,species,Urophycis tenuis,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis tenuis,best hit,Phycidae,Urophycis,White hake,demersal,oceanodromous,highly commercial,,
110,ASV120,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
111,ASV121,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
112,ASV122,species,Balaenoptera physalus,Eukaryota,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera physalus,best hit,Balaenopteridae,Balaenoptera,NA,NA,NA,NA,,
113,ASV123,species,Citharichthys arctifrons,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys arctifrons,best hit,Paralichthyidae,Citharichthys,Gulf Stream flounder,demersal,NA,NA,,
114,ASV124,species,Mallotus villosus,Eukaryota,Chordata,Actinopteri,Osmeriformes,Salangidae,Mallotus,Mallotus villosus,best hit,Osmeridae,Mallotus,Capelin,pelagic-oceanic,anadromous,highly commercial,,
115,ASV125,species,Brevoortia tyrannus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,best hit,Alosidae,Brevoortia,Atlantic menhaden,pelagic-neritic,oceanodromous,highly commercial,,
116,ASV126,species,Artediellus uncinatus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Artediellus,Artediellus uncinatus,best hit,Cottidae,Artediellus,Arctic hookear sculpin,demersal,NA,NA,,
117,ASV127,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
118,ASV128,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
119,ASV129,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
120,ASV131,species,Lycodes vahlii,Eukaryota,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodes,Lycodes vahlii,best hit,Zoarcidae,Lycodes,Vahl's eelpout,bathydemersal,NA,subsistence fisheries,,
121,ASV132,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
