"","ASV","#lca rank","#lca taxon","#kingdom","#phylum","#class","#order","#family","#genus","#species","#method","tax_status","family","genus","FBname","DemersPelag","AnaCat","Importance"
"11","ASV11","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"12","ASV12","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"13","ASV13","species","Salvelinus fontinalis x Salvelinus malma","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis x Salvelinus malma","best hit","Has data",NA,NA,NA,NA,NA,NA
"14","ASV14","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"15","ASV15","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Has data","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"16","ASV17","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"17","ASV18","species","Anarhichas denticulatus","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus","best hit","Has data","Anarhichadidae","Anarhichas","Northern wolffish","benthopelagic","oceanodromous","of no interest"
"18","ASV20","species","Myoxocephalus aenaeus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Has data","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA
"19","ASV21","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"20","ASV22","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Has data","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"21","ASV23","species","Microgadus tomcod","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus tomcod","best hit","Has data","Gadidae","Microgadus","Atlantic tomcod","demersal","anadromous","minor commercial"
"22","ASV24","species","Glyptocephalus cynoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","best hit","Has data","Pleuronectidae","Glyptocephalus","Witch flounder","demersal","oceanodromous","commercial"
"23","ASV25","species","Ammodytes marinus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes marinus","best hit","Has data","Ammodytidae","Ammodytes","Lesser sand-eel","benthopelagic",NA,"commercial"
"24","ASV26","species","Myoxocephalus aenaeus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Has data","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA
"25","ASV28","species","Hippoglossoides platessoides","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","best hit","Has data","Pleuronectidae","Hippoglossoides","American plaice","demersal","oceanodromous","highly commercial"
"26","ASV29","species","Syngnathus fuscus","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","best hit","Has data","Syngnathidae","Syngnathus","Northern pipefish","demersal","amphidromous",NA
"27","ASV30","species","Anguilla rostrata","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","best hit","Has data","Anguillidae","Anguilla","American eel","demersal","catadromous","commercial"
"28","ASV31","species","Salmo trutta","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Has data","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial"
"29","ASV32","species","Fundulus diaphanus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Has data","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial"
"30","ASV33","species","Triglops murrayi","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Triglops","Triglops murrayi","best hit","Has data","Cottidae","Triglops","Moustache sculpin","demersal","non-migratory","of no interest"
"31","ASV34","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"32","ASV36","species","Pseudopleuronectes americanus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","best hit","Has data","Pleuronectidae","Pseudopleuronectes","Winter flounder","demersal","oceanodromous","commercial"
"33","ASV37","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"34","ASV38","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"35","ASV39","species","Myoxocephalus thompsonii","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus thompsonii","best hit","Has data",NA,NA,NA,NA,NA,NA
"36","ASV40","species","Myoxocephalus octodecemspinosus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus","best hit","Has data","Cottidae","Myoxocephalus","Longhorn sculpin","demersal",NA,NA
"37","ASV41","species","Pungitius pungitius","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","best hit","Has data","Gasterosteidae","Pungitius","Ninespine stickleback","benthopelagic","anadromous","subsistence fisheries"
"38","ASV42","species","Citharichthys arctifrons","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys arctifrons","best hit","Has data","Paralichthyidae","Citharichthys","Gulf Stream flounder","demersal",NA,NA
"39","ASV43","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"40","ASV44","species","Hippoglossus hippoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","best hit","Has data","Pleuronectidae","Hippoglossus","Atlantic halibut","demersal","oceanodromous","commercial"
"41","ASV45","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"42","ASV46","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"43","ASV47","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Has data","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial"
"44","ASV48","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"45","ASV49","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"46","ASV51","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"47","ASV52","species","Liparis gibbus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis gibbus","best hit","Has data","Liparidae","Liparis","Variegated snailfish","demersal",NA,NA
"48","ASV53","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"49","ASV54","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"50","ASV55","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"51","ASV56","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"52","ASV57","species","Menidia beryllina","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia beryllina","best hit","Has data","Atherinopsidae","Menidia","Inland silverside","pelagic-neritic",NA,"commercial"
"53","ASV58","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"54","ASV59","species","Eumesogrammus praecisus","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus","best hit","Has data","Stichaeidae","Eumesogrammus","Fourline snakeblenny","benthopelagic",NA,NA
"55","ASV60","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"56","ASV61","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"57","ASV62","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"58","ASV63","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"59","ASV64","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"60","ASV65","species","Liparis miostomus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis miostomus","best hit","Has data",NA,NA,NA,NA,NA,NA
"61","ASV66","species","Lophius americanus","Eukaryota","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius americanus","best hit","Has data","Lophiidae","Lophius","American angler","demersal","oceanodromous","highly commercial"
"62","ASV67","species","Artediellus atlanticus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","Artediellus atlanticus","best hit","Has data","Cottidae","Artediellus","Atlantic hookear sculpin","demersal",NA,NA
"63","ASV68","species","Scomberesox saurus","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Scomberesox","Scomberesox saurus","best hit","Has data","Scomberesocidae","Scomberesox","Atlantic saury","pelagic-oceanic","oceanodromous","minor commercial"
"64","ASV69","species","Oncorhynchus mykiss","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","best hit","Has data","Salmonidae","Oncorhynchus","Rainbow trout","benthopelagic","anadromous","highly commercial"
"65","ASV70","species","Mola mola","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola","Mola mola","best hit","Has data","Molidae","Mola","Ocean sunfish","pelagic-oceanic","oceanodromous","minor commercial"
"66","ASV71","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"67","ASV72","species","Liparis inquilinus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis inquilinus","best hit","Has data","Liparidae","Liparis","Inquiline snailfish","demersal",NA,NA
"68","ASV73","species","Lumpenus lampretaeformis","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","best hit","Has data","Stichaeidae","Lumpenus","Snakeblenny","demersal","non-migratory","of no interest"
"69","ASV74","species","Thunnus thynnus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus thynnus","best hit","Has data","Scombridae","Thunnus","Atlantic bluefin tuna","pelagic-oceanic","oceanodromous","commercial"
"70","ASV75","species","Alosa pseudoharengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus","best hit","Has data","Alosidae","Alosa","Alewife","pelagic-neritic","anadromous","commercial"
"71","ASV76","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"72","ASV77","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"73","ASV78","species","Leptoclinus maculatus","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","best hit","Has data","Stichaeidae","Leptoclinus","Daubed shanny","demersal",NA,NA
"74","ASV80","species","Ceratoscopelus maderensis","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus maderensis","best hit","Has data","Myctophidae","Ceratoscopelus","Madeira lantern fish","bathypelagic","oceanodromous",NA
"75","ASV81","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"76","ASV82","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"77","ASV83","species","Enchelyopus cimbrius","Eukaryota","Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus cimbrius","best hit","Has data","Lotidae","Enchelyopus","Fourbeard rockling","demersal","oceanodromous","minor commercial"
"78","ASV84","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"79","ASV85","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"80","ASV86","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"81","ASV87","species","Pollachius virens","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","best hit","Has data","Gadidae","Pollachius","Saithe","demersal","oceanodromous","highly commercial"
"82","ASV88","species","Hemitripterus americanus","Eukaryota","Chordata","Actinopteri","Perciformes","Agonidae","Hemitripterus","Hemitripterus americanus","best hit","Has data","Hemitripteridae","Hemitripterus","Sea raven","demersal",NA,NA
"83","ASV89","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"84","ASV90","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"85","ASV91","species","Alosa aestivalis","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa aestivalis","best hit","Has data","Alosidae","Alosa","Blueback shad","pelagic-neritic","anadromous","commercial"
"86","ASV92","species","Morone americana","Eukaryota","Chordata","Actinopteri","unknown order","Moronidae","Morone","Morone americana","best hit","Has data","Moronidae","Morone","White perch","benthopelagic","anadromous","minor commercial"
"87","ASV93","species","Semotilus atromaculatus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit","Has data",NA,NA,NA,NA,NA,NA
"88","ASV94","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"89","ASV95","species","Artediellus atlanticus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","Artediellus atlanticus","best hit","Has data","Cottidae","Artediellus","Atlantic hookear sculpin","demersal",NA,NA
"90","ASV96","species","Urophycis chuss","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Has data","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial"
"91","ASV98","species","Peprilus triacanthus","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus","best hit","Has data","Stromateidae","Peprilus","Atlantic butterfish","benthopelagic","oceanodromous","commercial"
"92","ASV99","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"93","ASV104","species","Notoscopelus elongatus","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus","best hit","Has data",NA,NA,NA,NA,NA,NA
"94","ASV105","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"95","ASV106","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"96","ASV107","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"97","ASV109","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"98","ASV110","species","Salvelinus fontinalis x Salvelinus malma","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis x Salvelinus malma","best hit","Has data",NA,NA,NA,NA,NA,NA
"99","ASV111","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"100","ASV114","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"101","ASV115","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"102","ASV117","species","Brosme brosme","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Brosme","Brosme brosme","best hit","Has data","Lotidae","Brosme","Cusk","demersal","oceanodromous","highly commercial"
"103","ASV118","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"104","ASV119","species","Urophycis tenuis","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","best hit","Has data","Phycidae","Urophycis","White hake","demersal","oceanodromous","highly commercial"
"105","ASV120","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"106","ASV121","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"107","ASV123","species","Citharichthys arctifrons","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys arctifrons","best hit","Has data","Paralichthyidae","Citharichthys","Gulf Stream flounder","demersal",NA,NA
"108","ASV124","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Has data","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"109","ASV125","species","Brevoortia tyrannus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","best hit","Has data","Alosidae","Brevoortia","Atlantic menhaden","pelagic-neritic","oceanodromous","highly commercial"
"110","ASV126","species","Artediellus uncinatus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","Artediellus uncinatus","best hit","Has data","Cottidae","Artediellus","Arctic hookear sculpin","demersal",NA,NA
"111","ASV127","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"112","ASV128","species","Salvelinus fontinalis x Salvelinus malma","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis x Salvelinus malma","best hit","Has data",NA,NA,NA,NA,NA,NA
"113","ASV129","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"114","ASV131","species","Lycodes vahlii","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","best hit","Has data","Zoarcidae","Lycodes","Vahl's eelpout","bathydemersal",NA,"subsistence fisheries"
"115","ASV132","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"116","ASV133","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"117","ASV134","species","Phycis chesteri","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Phycis","Phycis chesteri","best hit","Has data","Phycidae","Phycis","Longfin hake","benthopelagic","non-migratory","of potential interest"
"118","ASV135","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
